beta_1,beta_2,t_b,xi,n,givenModel,t_b_estMean,t_b_estVar,selRate_NLL,selRate_AIC,selRate_BIC,"selNum_NLL_Gev(0, 0)","selNum_NLL_Gev(0, 1)","selNum_NLL_Gev(1, 0)","selNum_NLL_Gev(1, 1)","selNum_AIC_Gev(0, 0)","selNum_AIC_Gev(0, 1)","selNum_AIC_Gev(1, 0)","selNum_AIC_Gev(1, 1)","selNum_BIC_Gev(0, 0)","selNum_BIC_Gev(0, 1)","selNum_BIC_Gev(1, 0)","selNum_BIC_Gev(1, 1)"
2,4,0.5,-0.1,30,"GEV(1, 1)",0.504466667,0.005002829,0.966,0.587,0.421,0,34,0,966,0,412,1,587,0,573,6,421
2,4,0.5,-0.2,30,"GEV(1, 1)",0.507166667,0.004476449,0.958,0.589,0.439,0,42,0,958,0,410,1,589,0,556,5,439
2,4,0.5,0.1,30,"GEV(1, 1)",0.501666667,0.004377155,0.976,0.591,0.422,0,24,0,976,0,409,0,591,0,572,6,422
2,4,0.5,0.2,30,"GEV(1, 1)",0.493,0.003363252,0.982,0.643,0.462,0,18,0,982,0,356,1,643,0,530,8,462
4,-1,0.5,0,30,"GEV(1, 1)",0.5332,0.064052924,0.993,0.621,0.314,0,6,1,993,4,222,153,621,29,232,425,314
4,-1,0.5,-0.1,30,"GEV(1, 1)",0.510033333,0.065143364,0.997,0.611,0.344,0,3,0,997,3,255,131,611,21,246,389,344
4,-1,0.5,-0.2,30,"GEV(1, 1)",0.5301,0.060324314,0.992,0.644,0.378,0,8,0,992,2,228,126,644,11,234,377,378
4,-1,0.5,0.1,30,"GEV(1, 1)",0.5312,0.062402296,0.999,0.64,0.355,0,1,0,999,2,205,153,640,19,210,416,355
4,-1,0.5,0.2,30,"GEV(1, 1)",0.549333333,0.060030697,0.996011964,0.688,0.388,1,2,1,999,2,184,126,688,15,198,399,388
4,-2,0.5,0,30,"GEV(1, 1)",0.5362,0.029107556,0.996,0.734,0.47,1,3,0,996,43,206,17,734,268,208,54,470
4,-2,0.5,-0.1,30,"GEV(1, 1)",0.524966667,0.030477143,0.995,0.744,0.501,0,5,0,995,45,187,24,744,240,192,67,501
4,-2,0.5,-0.2,30,"GEV(1, 1)",0.513833333,0.030611473,0.99,0.734,0.529,0,10,0,990,51,202,13,734,236,183,52,529
4,-2,0.5,0.1,30,"GEV(1, 1)",0.5231,0.030088701,0.998,0.753,0.536,0,2,0,998,36,201,10,753,223,192,49,536
4,-2,0.5,0.2,30,"GEV(1, 1)",0.5274,0.027894913,1,0.784,0.56,0,0,0,1000,25,173,18,784,212,179,49,560
4,-4,0.5,0,30,"GEV(1, 1)",0.5038,0.004728066,0.985,0.938,0.885,2,13,0,985,10,52,0,938,12,103,0,885
4,-4,0.5,-0.1,30,"GEV(1, 1)",0.5072,0.005429145,0.985,0.935,0.881,0,15,0,985,12,53,0,935,14,104,1,881
4,-4,0.5,-0.2,30,"GEV(1, 1)",0.5064,0.004863904,0.985,0.94,0.896,1,14,0,985,10,50,0,940,11,93,0,896
4,-4,0.5,0.1,30,"GEV(1, 1)",0.507566667,0.003507364,0.996,0.946,0.891,0,4,0,996,4,50,0,946,10,96,3,891
4,-4,0.5,0.2,30,"GEV(1, 1)",0.508566667,0.003506786,0.993,0.958,0.904,3,4,0,993,6,36,0,958,13,83,0,904
4,0,0,0,30,"GEV(1, 0)",NA,NA,0,0.245,0.601,0,15,0,985,7,109,245,639,8,111,601,280
4,0,0,-0.1,30,"GEV(1, 0)",NA,NA,0,0.25,0.609,0,17,0,983,5,86,250,659,9,97,609,285
4,0,0,-0.2,30,"GEV(1, 0)",NA,NA,0.001,0.22,0.558,1,19,1,979,5,106,220,669,6,109,558,327
4,0,0,0.1,30,"GEV(1, 0)",NA,NA,0,0.238,0.61,0,12,0,988,3,85,238,674,5,92,610,293
4,0,0,0.2,30,"GEV(1, 0)",NA,NA,0,0.255,0.592,0,5,0,995,2,61,255,682,2,62,592,344
4,1,0.5,0,30,"GEV(1, 1)",0.4927,0.063724879,0.979,0.729,0.397,0,21,0,979,3,95,173,729,4,119,480,397
4,1,0.5,-0.1,30,"GEV(1, 1)",0.495666667,0.059162607,0.988,0.729,0.367,0,12,0,988,1,87,183,729,4,119,510,367
4,1,0.5,-0.2,30,"GEV(1, 1)",0.5102,0.06204912,0.994,0.785,0.453,0,6,0,994,2,70,143,785,2,109,436,453
4,1,0.5,0.1,30,"GEV(1, 1)",0.4807,0.062197485,0.984,0.757,0.384,0,16,0,984,1,64,178,757,6,100,510,384
4,1,0.5,0.2,30,"GEV(1, 1)",0.4773,0.065793837,0.99,0.775,0.402,0,10,0,990,2,66,157,775,6,85,507,402
4,2,0.5,0,30,"GEV(1, 1)",0.509833333,0.033985068,0.992,0.875,0.598,0,8,0,992,0,80,45,875,0,148,254,598
4,2,0.5,-0.1,30,"GEV(1, 1)",0.505966667,0.034535601,0.993,0.871,0.627,0,7,0,993,0,68,61,871,0,125,248,627
4,2,0.5,-0.2,30,"GEV(1, 1)",0.5146,0.034708215,0.996,0.899,0.668,0,4,0,996,0,62,39,899,0,111,221,668
4,2,0.5,0.1,30,"GEV(1, 1)",0.488733333,0.032783624,0.996,0.899,0.631,0,3,1,996,0,64,37,899,0,118,251,631
4,2,0.5,0.2,30,"GEV(1, 1)",0.478133333,0.028768395,0.992,0.879,0.642,0,7,1,992,0,68,53,879,0,119,239,642
4,4,0.5,0,30,"GEV(1, 1)",0.5027,0.005432587,0.979,0.916,0.845,0,21,0,979,0,83,1,916,0,143,12,845
4,4,0.5,-0.1,30,"GEV(1, 1)",0.5027,0.006691624,0.974,0.905,0.849,0,26,0,974,0,94,1,905,0,146,5,849
4,4,0.5,-0.2,30,"GEV(1, 1)",0.5064,0.005064104,0.965,0.91,0.847,0,35,0,965,0,90,0,910,0,149,4,847
4,4,0.5,0.1,30,"GEV(1, 1)",0.500933333,0.004645997,0.985,0.928,0.87,0,15,0,985,0,71,1,928,0,127,3,870
4,4,0.5,0.2,30,"GEV(1, 1)",0.492533333,0.005536452,0.991,0.942,0.884,0,8,1,991,0,57,1,942,0,109,7,884
-1,-1,0.5,0,40,"GEV(1, 1)",0.518875,0.060567427,0.999,0.357,0.115,1,0,0,999,1,528,114,357,9,510,366,115
-1,-1,0.5,-0.1,40,"GEV(1, 1)",0.5361,0.059655195,0.998,0.358,0.129,1,1,0,998,2,516,124,358,17,492,362,129
-1,-1,0.5,-0.2,40,"GEV(1, 1)",0.526825,0.057141936,0.99,0.371,0.127,1,9,0,990,1,520,108,371,5,524,344,127
-1,-1,0.5,0.1,40,"GEV(1, 1)",0.537975,0.059414189,0.998,0.404,0.142,0,2,0,998,1,497,98,404,6,493,359,142
-1,-1,0.5,0.2,40,"GEV(1, 1)",0.5169,0.06234048,1,0.397,0.133,0,0,0,1000,0,496,107,397,2,515,350,133
-1,-2,0.5,0,40,"GEV(1, 1)",0.532025,0.028123148,0.99,0.334,0.131,6,4,0,990,7,631,28,334,7,716,146,131
-1,-2,0.5,-0.1,40,"GEV(1, 1)",0.5181,0.025641782,0.989,0.324,0.108,8,3,0,989,11,633,32,324,11,731,150,108
-1,-2,0.5,-0.2,40,"GEV(1, 1)",0.522225,0.021634559,0.992,0.315,0.129,3,5,0,992,6,660,19,315,6,753,112,129
-1,-2,0.5,0.1,40,"GEV(1, 1)",0.523925,0.020839058,0.994,0.375,0.162,4,2,0,994,4,600,21,375,4,710,124,162
-1,-2,0.5,0.2,40,"GEV(1, 1)",0.52075,0.017055243,0.998,0.366,0.156,0,2,0,998,2,614,18,366,2,734,108,156
